DisCo,s_n,band,feeder_description,min_supply_hours,order_effective_date,source_report,verification_note
Benin,1,A,"ABRAKA ABRAKA ABBI ROAD ABRAKA,OBIARUKU,AGALOKPE,ABBI.UMUTU,OGUME",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,2,A,ABRAKA COMMERCIAL ABRAKA ROAD EKU ABRAKA ROAD,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,3,A,"ADEJE UGBOREN ROAD IBADA- ALUME,APURAJA,UGBOREN",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,4,A,ADEYEMI DEDICATED TO ADEYEMI COLLEGE ADEYEMI COLLEGE OF EDUCATION,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,5,A,"ADO Basiri Government House, Adebayo Street, Basiri Street, Okesha and Housing",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,6,A,"AFE-BABALOLA Poly Road Water Works road, Ajilosun and Poly road",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,7,A,"AGBOR 6 Agbor Town Agbor Town, Umunede, Abavo, Igbanke",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,8,A,"AGENEBODE Irrua Road Irrua, Agua, Ewu",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,9,A,"AGHOR Auchi Industry Road Auchi Main,Ebira Camp,Ikpeshi, Agor, Sasarom and Igarra Industrial Site",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,10,A,"AIRPORT (COMMERCIAL) Benin GRA Airport road, Sapele road, Ikpokpan road, Akhiobare street, MM way, Aideyan street, Dennis Osadebe Avenue,Golf Road.",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,11,A,"AKPAKPAVA COMMERCIAL Akpakpava Akpakpava Road, Dawson road,Mission road, Second East circular, First east circular road, Uwa street road",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,12,A,"AKURE Ilesha Road Oreta-Obele Road, Awole Road and Ilesha Road",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,13,A,"AKURE-COMMERCIAL Bank road Govt house, CBN Road, First Bank, Unity Bank.",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,14,A,"AMUKPE COMMERCIAL Warri/Sapele Rd New Ogorede Rd, Sapele Rd, Warri Rd, Sapele Urban",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,15,A,ASABA-COMMERCIAL COMMERCIAL AREA ASABA TOWNSHIP,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,16,A,"AUCHI TOWN COMMERCIAL AUCHI TOWN Jattu road, Otaru Palace road, Along Auchi poly road, Igbe road,and Waterboard road",20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,17,A,BETA GLASS Beta glass Beta glass street,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,18,A,CEMENT FACTORY OKPELLA OKPELLA CEMENT FACTORY,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
Benin,19,A,EASTERN METAL Industrial area Asaba-Benin expressway,20,2025-07-01,"NERC ORDER/NERC/2025/060 - July 2025 Supplementary Order for BEDC, Appendix 3 - https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf",Verified: DisCo label matches source document title and feeder geography (Benin/Delta/Edo/Ondo/Ekiti areas).
