DisCo,Year,Quarter,EnergyReceived_GWh,BillingEfficiency_pct,ATCC_Losses_pct,source_report
Abuja,2023,3,1060.0,73.21,40.42,NERC 2023/Q4 Report (Table 5 & 7)
Benin,2023,3,602.39,85.91,42.02,NERC 2023/Q4 Report (Table 5 & 7)
Eko,2023,3,938.0,88.06,25.72,NERC 2023/Q4 Report (Table 5 & 7)
Enugu,2023,3,582.59,75.99,41.21,NERC 2023/Q4 Report (Table 5 & 7)
Ibadan,2023,3,894.46,76.21,44.98,NERC 2023/Q4 Report (Table 5 & 7)
Ikeja,2023,3,1158.73,86.92,14.71,NERC 2023/Q4 Report (Table 5 & 7)
Jos,2023,3,371.81,81.45,60.88,NERC 2023/Q4 Report (Table 5 & 7)
Kaduna,2023,3,416.0,52.99,66.09,NERC 2023/Q4 Report (Table 5 & 7)
Kano,2023,3,415.51,70.35,52.48,NERC 2023/Q4 Report (Table 5 & 7)
Port Harcourt,2023,3,527.89,83.18,42.06,NERC 2023/Q4 Report (Table 5 & 7)
Yola,2023,3,217.06,81.23,60.88,NERC 2023/Q4 Report (Table 5 & 7)
Abuja,2023,4,1248.0,70.83,43.02,NERC 2023/Q4 Report (Table 5 & 7)
Benin,2023,4,664.61,85.19,44.52,NERC 2023/Q4 Report (Table 5 & 7)
Eko,2023,4,1039.0,89.89,24.4,NERC 2023/Q4 Report (Table 5 & 7)
Enugu,2023,4,681.61,74.73,43.08,NERC 2023/Q4 Report (Table 5 & 7)
Ibadan,2023,4,988.35,80.95,44.56,NERC 2023/Q4 Report (Table 5 & 7)
Ikeja,2023,4,1231.92,86.84,17.5,NERC 2023/Q4 Report (Table 5 & 7)
Jos,2023,4,425.75,79.35,62.84,NERC 2023/Q4 Report (Table 5 & 7)
Kaduna,2023,4,545.9,44.37,72.93,NERC 2023/Q4 Report (Table 5 & 7)
Kano,2023,4,531.11,68.14,58.16,NERC 2023/Q4 Report (Table 5 & 7)
Port Harcourt,2023,4,577.83,81.99,42.64,NERC 2023/Q4 Report (Table 5 & 7)
Yola,2023,4,264.57,95.67,63.79,NERC 2023/Q4 Report (Table 5 & 7)
Abuja,2024,1,1119.0,75.6,36.98,NERC 2024/Q1 Report (Table 5 & 7)
Benin,2024,1,575.95,84.87,35.17,NERC 2024/Q1 Report (Table 5 & 7)
Eko,2024,1,964.0,89.75,22.61,NERC 2024/Q1 Report (Table 5 & 7)
Enugu,2024,1,551.55,80.46,35.61,NERC 2024/Q1 Report (Table 5 & 7)
Ibadan,2024,1,837.59,85.54,42.02,NERC 2024/Q1 Report (Table 5 & 7)
Ikeja,2024,1,1117.83,81.26,15.81,NERC 2024/Q1 Report (Table 5 & 7)
Jos,2024,1,395.62,76.04,53.76,NERC 2024/Q1 Report (Table 5 & 7)
Kaduna,2024,1,443.9,56.66,59.96,NERC 2024/Q1 Report (Table 5 & 7)
Kano,2024,1,440.32,74.93,52.73,NERC 2024/Q1 Report (Table 5 & 7)
Port Harcourt,2024,1,531.01,85.01,37.39,NERC 2024/Q1 Report (Table 5 & 7)
Yola,2024,1,213.19,86.03,62.36,NERC 2024/Q1 Report (Table 5 & 7)
Abuja,2024,2,1089.0,76.68,36.13,NERC 2024/Q3 Report (Table 5 & 7)
Benin,2024,2,563.05,83.35,31.36,NERC 2024/Q3 Report (Table 5 & 7)
Eko,2024,2,942.0,89.7,21.03,NERC 2024/Q3 Report (Table 5 & 7)
Enugu,2024,2,492.0,95.33,29.12,NERC 2024/Q3 Report (Table 5 & 7)
Ibadan,2024,2,816.11,88.75,37.66,NERC 2024/Q3 Report (Table 5 & 7)
Ikeja,2024,2,1136.83,82.47,21.93,NERC 2024/Q3 Report (Table 5 & 7)
Jos,2024,2,332.68,72.76,52.44,NERC 2024/Q3 Report (Table 5 & 7)
Kaduna,2024,2,442.67,63.07,61.76,NERC 2024/Q3 Report (Table 5 & 7)
Kano,2024,2,444.34,74.63,56.19,NERC 2024/Q3 Report (Table 5 & 7)
Port Harcourt,2024,2,531.25,83.58,35.15,NERC 2024/Q3 Report (Table 5 & 7)
Yola,2024,2,124.46,93.34,48.04,NERC 2024/Q3 Report (Table 5 & 7)
Abuja,2024,3,1124.76,81.0,36.13,NERC 2024/Q3 Report (Table 5 & 7)
Benin,2024,3,694.32,84.27,31.8,NERC 2024/Q3 Report (Table 5 & 7)
Eko,2024,3,983.24,89.3,24.62,NERC 2024/Q3 Report (Table 5 & 7)
Enugu,2024,3,636.21,74.98,42.89,NERC 2024/Q3 Report (Table 5 & 7)
Ibadan,2024,3,958.37,89.98,30.86,NERC 2024/Q3 Report (Table 5 & 7)
Ikeja,2024,3,1130.67,84.24,29.78,NERC 2024/Q3 Report (Table 5 & 7)
Jos,2024,3,428.92,62.66,66.81,NERC 2024/Q3 Report (Table 5 & 7)
Kaduna,2024,3,446.37,64.01,70.84,NERC 2024/Q3 Report (Table 5 & 7)
Kano,2024,3,475.98,87.38,59.82,NERC 2024/Q3 Report (Table 5 & 7)
Port Harcourt,2024,3,560.41,83.74,41.7,NERC 2024/Q3 Report (Table 5 & 7)
Yola,2024,3,167.57,85.73,57.05,NERC 2024/Q3 Report (Table 5 & 7)
Abuja,2024,4,1163.25,78.92,40.43,NERC 2024/Q4 Report (Table 5 & 7) - https://nerc.gov.ng/wp-content/uploads/2025/03/2024_Q4-Report.pdf
Benin,2024,4,764.99,86.89,29.47,NERC 2024/Q4 Report (Table 5 & 7) - https://nerc.gov.ng/wp-content/uploads/2025/03/2024_Q4-Report.pdf
Eko,2024,4,1004.07,89.2,19.72,NERC 2024/Q4 Report (Table 5 & 7) - https://nerc.gov.ng/wp-content/uploads/2025/03/2024_Q4-Report.pdf
Enugu,2024,4,649.53,73.13,41.35,NERC 2024/Q4 Report (Table 5 & 7) - https://nerc.gov.ng/wp-content/uploads/2025/03/2024_Q4-Report.pdf
Ibadan,2024,4,966.2,89.99,30.3,NERC 2024/Q4 Report (Table 5 & 7) - https://nerc.gov.ng/wp-content/uploads/2025/03/2024_Q4-Report.pdf
Ikeja,2024,4,1190.55,84.41,30.25,NERC 2024/Q4 Report (Table 5 & 7) - https://nerc.gov.ng/wp-content/uploads/2025/03/2024_Q4-Report.pdf
Jos,2024,4,301.24,81.04,59.74,NERC 2024/Q4 Report (Table 5 & 7) - https://nerc.gov.ng/wp-content/uploads/2025/03/2024_Q4-Report.pdf
